datetime,UberPickupsPerMonth,TaxiPickupsPerMonth
1/31/2015 0:00,1873186,12748378
2/28/2015 0:00,2182040,12449724
3/31/2015 0:00,2259774,13350739
4/30/2015 0:00,2280837,13071030
5/31/2015 0:00,2695553,13158229
6/30/2015 0:00,2816895,12324930
7/31/2015 0:00,3107559,11562349
8/31/2015 0:00,3316575,11129899
9/30/2015 0:00,3709275,11224680
10/31/2015 0:00,4359770,12314564
11/30/2015 0:00,4178600,11312280
12/31/2015 0:00,4343832,11460266
1/31/2016 0:00,4301257,10906296
2/29/2016 0:00,4827341,11381630
3/31/2016 0:00,4949745,12210466
4/30/2016 0:00,5103754,11933400
5/31/2016 0:00,5391882,11838218
6/30/2016 0:00,5358145,11137710
7/31/2016 0:00,5899048,10299161
8/31/2016 0:00,5893652,9942258
9/30/2016 0:00,6481759,10119630
10/31/2016 0:00,7007446,10861780
11/30/2016 0:00,6973381,10102110
12/31/2016 0:00,7880535,10449201
1/31/2017 0:00,7736951,9710099
2/28/2017 0:00,7244950,9168628
3/31/2017 0:00,8641848,10294325
4/30/2017 0:00,8181383,10045950
5/31/2017 0:00,8794695,10101567
6/30/2017 0:00,8898156,9656310
7/31/2017 0:00,8962215,8588302
8/31/2017 0:00,8992847,8421956
9/30/2017 0:00,9525248,8944890
10/31/2017 0:00,10135304,9767604
11/30/2017 0:00,10693287,9284130
12/31/2017 0:00,11836385,9507886
